,url,headline,is_paid,date_published,channel,original_headline,newspaper,corona_score,vaccine
1305,https://www.spiegel.de/wirtschaft/unternehmen/deutsche-bahn-schliesst-mit-rwe-neuen-oekostrom-deal-a-d1ee393f-9e56-4461-bee1-2d0e2c813229,ökostrom deal deutsch bahn kaufen mehr strom windpark helgoland,False,2021-04-05,Wirtschaft,Ökostrom Deal Deutsche Bahn kauft noch mehr Strom aus Windpark vor Helgoland,Der Spiegel,0.6666666666666666,n/a
1309,https://www.spiegel.de/politik/deutschland/trotz-dritter-corona-welle-saarland-schwenkt-auf-oeffnungskurs-a-3fbacca3-cdad-43ea-8947-67337cfceefe,trotzen dritt coronawelle saarland schwenken öffnungskurs,False,2021-04-05,Politik,Trotz dritter Coronawelle Saarland schwenkt auf Öffnungskurs,Der Spiegel,0.6666666666666666,n/a
1310,https://www.spiegel.de/politik/deutschland/coronakrise-armin-laschet-draengt-auf-brueckenlockdown-a-84893005-7ec5-47c3-b70b-15537e8a5247,armin laschet wortlaut groß mehrheit bürger bereiten schritt mitzugehen,False,2021-04-05,Politik,Armin Laschet im Wortlaut Große Mehrheit der Bürger ist bereit diesen Schritt mitzugehen,Der Spiegel,0.7777777777777778,n/a
1311,https://www.spiegel.de/politik/deutschland/corona-pandemie-nrw-ministerpraesident-armin-laschet-draengt-auf-brueckenlockdown-a-2a760bb5-c6cf-4f02-9ea8-708e0ae58c85,steigend infektionszahlen laschet drängen brücken lockdown,False,2021-04-05,Politik,Steigende Infektionszahlen Laschet drängt auf Brücken Lockdown,Der Spiegel,1.0,n/a
1312,https://www.spiegel.de/panorama/wismar-grosser-andrang-bei-impfung-ohne-termin-a-21cfd216-c0f7-4863-a374-86451546d964,astrazeneca aktion impfung termin groß andringen wismar,False,2021-04-05,Panorama,AstraZeneca Aktion Impfung ohne Termin   großer Andrang in Wismar,Der Spiegel,1.0,astrazeneca
1313,https://www.spiegel.de/politik/ausland/indien-verzeichnet-mehr-als-100-000-coronafaelle-an-einem-tag-a-9f3b5302-c8f6-4d3e-b014-baca59a453b1,immer mehr neuinfektionen indien verzeichnen mehr 100000 coronafälle tag,False,2021-04-05,Politik,Immer mehr Neuinfektionen Indien verzeichnet mehr als 100000 Coronafälle an einem Tag,Der Spiegel,1.0,n/a
1314,https://www.spiegel.de/politik/deutschland/jens-spahn-ueber-corona-impfen-verhindert-nicht-die-dritte-welle-a-987cb3ef-c48a-48bb-b856-1903648b7c08,coronapandemie impfen verhindern dritt wellen,False,2021-04-05,Politik,Coronapandemie Impfen verhindert nicht die dritte Welle,Der Spiegel,1.0,n/a
1315,https://www.spiegel.de/panorama/florida-durch-leck-in-abwasserbecken-droht-umweltkatastrophe-a-f0561078-c5c0-4270-a5fd-2f631c42d136,florida drohnenbilder zeigen kampf drohend umweltkatastrophe,False,2021-04-05,Panorama,Florida Drohnenbilder zeigen Kampf gegen drohende Umweltkatastrophe,Der Spiegel,0.6666666666666666,n/a
1316,https://www.spiegel.de/panorama/kaltfront-ueber-deutschland-und-das-soll-jetzt-fruehling-sein-a-e4723e00-b1c8-42e1-90f8-bade511040a8,kaltfront deutschland frühling,False,2021-04-05,Panorama,Kaltfront über Deutschland Und das soll jetzt Frühling sein,Der Spiegel,0.6666666666666666,n/a
1319,https://www.spiegel.de/politik/ausland/ukraine-konflikt-eu-aussenbeauftragter-josep-borrell-sichert-hilfe-zu-a-7109b7d2-29c1-4e0d-b79f-a51770d09917,konflikt russland eu außenbeauftragter versichern ukraine unterstützung,False,2021-04-05,Politik,Konflikt mit Russland EU Außenbeauftragter versichert Ukraine Unterstützung,Der Spiegel,0.8571428571428571,n/a
1320,https://www.spiegel.de/politik/ausland/fussball-festivals-discos-grossbritannien-will-corona-ausweise-testen-a-51740a07-c501-431c-878c-a41229094030,fußballspiele festivals discos großbritannien corona ausweise testen,False,2021-04-05,Politik,Fußballspiele Festivals Discos Großbritannien will Corona Ausweise testen,Der Spiegel,1.0,n/a
1323,https://www.spiegel.de/wirtschaft/inflation-steigt-auf-mehr-als-16-prozent-a-50ae77eb-cdb9-471d-a0bf-535edd31558d,locker geldpolitik inflation türkei steigen mehr 16 prozent,False,2021-04-05,Wirtschaft,Lockere Geldpolitik Inflation der Türkei steigt auf mehr als 16 Prozent,Der Spiegel,0.75,n/a
1324,https://www.spiegel.de/panorama/gesellschaft/niedersachsen-polizei-schuetzt-stephan-weils-wohnhaus-vor-querdenkern-a-04ee3d76-69aa-463a-8249-f43c9748a074,demo wohnhaus planen polizei schützen ministerpräsident coronaleugnern,False,2021-04-05,Panorama,Demo vor Wohnhaus geplant Polizei schützt Ministerpräsident Weil vor Coronaleugnern,Der Spiegel,0.7142857142857143,n/a
1325,https://www.spiegel.de/panorama/niederlande-fahrerwechsel-bei-tempo-100-polizei-entdeckt-15-jaehrigen-am-steuer-a-d640dfba-5e27-47ff-bdbe-0e3da826e4cf,niederlande fahrerwechsel tempo 100 polizei entdecken 15 jährig steuer,False,2021-04-05,Panorama,Niederlande Fahrerwechsel bei Tempo 100 Polizei entdeckt 15 Jährigen am Steuer,Der Spiegel,0.6666666666666666,n/a
1329,https://www.spiegel.de/politik/ausland/griechenland-fordert-weiterhin-reparationen-von-deutschland-fuer-angriffe-im-zweiten-weltkrieg-a-0b913328-9445-41ff-85c2-1696e6552175,deutsch angreifen zweit weltkrieg griechenland halten reparationsansprüchen fest,False,2021-04-05,Politik,Deutscher Angriff im Zweiten Weltkrieg Griechenland hält an Reparationsansprüchen fest,Der Spiegel,0.875,n/a
1332,https://www.spiegel.de/politik/ausland/recep-tayyip-erdogan-tuerkei-nimmt-zehn-pensionierte-admirale-nach-kritik-am-kanal-istanbul-fest-a-166bdd33-6227-4fe9-92aa-94e12626d9be,kritik wasserstraßenprojekt türkei nehmen zehn pensionieren admirale fest,False,2021-04-05,Politik,Nach Kritik an Wasserstraßenprojekt Türkei nimmt zehn pensionierte Admirale fest,Der Spiegel,0.625,n/a
1333,https://www.spiegel.de/panorama/bildung/abitur-bildungsgewerkschaft-fordert-pruefungen-ausfallen-zu-lassen-a-783f332b-9334-45c2-be7f-1dc6a49603bd,wegen dritt wellen gewerkschaft fordern abiturprüfungen ausfallen lassen,False,2021-04-05,Panorama,Wegen dritter Welle Gewerkschaft fordert Abiturprüfungen ausfallen zu lassen,Der Spiegel,0.875,n/a
1340,https://www.spiegel.de/wissenschaft/medizin/coronavirus-news-am-montag-rki-registriert-8497-neuinfektionen-und-50-todesfaelle-a-f2702f7f-ebcd-4ed1-ad3b-67c07ea64ae1,corona news montag hausärzte chef verlangen klarheit astrazeneca,False,2021-04-05,Wissenschaft,Corona News am Montag Hausärzte Chef verlangt Klarheit über AstraZeneca,Der Spiegel,1.0,n/a
1341,https://www.spiegel.de/netzwelt/apps/zu-viel-am-smartphone-so-wird-s-besser-tipps-von-christoph-koch-a-5254cf80-692a-43ac-930d-3e3b0f389c7d,bewusster umgang technik kommen smartphone los,False,2021-04-05,Netzwelt,Bewusster Umgang mit Technik So kommen Sie von Ihrem Smartphone los,Der Spiegel,0.8333333333333334,n/a
1342,https://www.spiegel.de/psychologie/coronakrise-kommt-viola-klein-als-millionaerin-besser-durch-die-pandemie-a-4e5acc55-588a-4a80-abc8-00edfe3aa6b9,softwareunternehmerin viola klein coronajahr schaffen millionärin gut pandemie,False,2021-04-05,Psychologie,Softwareunternehmerin Viola Klein und ihr Coronajahr Schafft man es als Millionärin besser durch die Pandemie,Der Spiegel,1.0,n/a
1347,https://www.spiegel.de/netzwelt/web/yahoo-clever-macht-dicht-solch-absurde-nutzerfragen-werden-dabei-geloescht-a-e775ad66-0b09-40e3-b275-4b9a4a8a2e80,kosten wlan kabel zehn seltsam nutzerfragen millionen mehr bald löschen,False,2021-04-06,Netzwelt,was kostet ein wlan kabel Diese zehn seltsamen Nutzerfragen und Millionen mehr werden bald gelöscht,Der Spiegel,0.7,n/a
1348,https://www.spiegel.de/politik/ausland/iran-nennt-erste-atomgespraeche-ohne-die-usa-konstruktiv-a-8c5a9449-6aba-4a3d-8eda-2bdfe201866e,fortsetzung freitag iran nennen erste atomgespräche usa konstruktiv,False,2021-04-06,Politik,Fortsetzung am Freitag Iran nennt erste Atomgespräche ohne die USA konstruktiv,Der Spiegel,0.625,n/a
1349,https://www.spiegel.de/psychologie/corona-krise-was-ich-wieder-neu-lernen-muss-wenn-das-hier-vorbei-ist-kolumne-a-14ab9d99-0cf5-4067-81d4-001d5f3a8ce5,altern midlife kolumne neu lernen vorbei,False,2021-04-06,Psychologie,Alter   Die Midlife Kolumne Was ich wieder neu lernen muss wenn das hier vorbei ist,Der Spiegel,0.6666666666666666,n/a
1350,https://www.spiegel.de/wissenschaft/medizin/corona-virus-und-covid-19-die-suche-nach-dem-billigen-allerwelts-impfstoff-a-427fb73e-26d3-458b-bedd-4321c92fe9bb,coronapandemie suche billig allerweltsimpfstoff,False,2021-04-06,Wissenschaft,Coronapandemie Die Suche nach dem billigen Allerweltsimpfstoff,Der Spiegel,0.75,n/a
1351,https://www.spiegel.de/wirtschaft/unternehmen/iwf-rechnet-mit-anhaltendem-boersenboom-a-4ae08042-dbd5-4986-82ca-f93b625ee044,trotzen überzogen kurse iwf rechnen anhaltend börsenboom,False,2021-04-06,Wirtschaft,Trotz überzogener Kurse IWF rechnet mit anhaltendem Börsenboom,Der Spiegel,0.5714285714285714,n/a
1352,https://www.spiegel.de/politik/ausland/alexej-nawalny-aerztin-anastassija-wassiljewa-vor-straflager-festgenommen-a-7446f1a0-5668-45df-9bbc-351e9c09d654,proteste straflager russische polizei nehmen nawalnys ärztin fest,False,2021-04-06,Politik,Proteste vor Straflager Russische Polizei nimmt Nawalnys Ärztin fest,Der Spiegel,0.625,n/a
1356,https://www.spiegel.de/politik/ausland/fall-george-floyd-schluesselzeuge-verweigert-die-aussage-a-12d63864-f99c-48a1-a7ba-c52e64778c6b,prozess tod george floyd schlüsselzeuge verweigern aussagen,False,2021-04-06,Politik,Prozess zum Tod von George Floyd Schlüsselzeuge verweigert die Aussage,Der Spiegel,0.8571428571428571,n/a
1357,https://www.spiegel.de/politik/deutschland/fokus-auf-erstimpfungen-bayerns-gesundheitsminister-holetschek-erwaegt-aenderung-der-impfstrategie-a-4b74bc93-93ae-4bef-b5be-a4bfe049309e,fokus erstimpfungen bayerns gesundheitsminister erwägen änderung impfstrategie,False,2021-04-06,Politik,Fokus auf Erstimpfungen Bayerns Gesundheitsminister erwägt Änderung der Impfstrategie,Der Spiegel,1.0,n/a
1359,https://www.spiegel.de/politik/lockerungen-statt-lockdown-a-06f781ba-9dca-499a-b608-b7f52a2e5977,modellversuch saarland lockerungen statt lockdown,False,2021-04-06,Politik,Modellversuch im Saarland Lockerungen statt Lockdown,Der Spiegel,1.0,n/a
1360,https://www.spiegel.de/politik/deutschland/corona-virus-armin-laschets-vorstoss-spd-laender-sehen-zu-viele-offene-fragen-a-39b223fb-0bea-4280-a0a3-dc993e7d2dba,viel fragen offen spd länder lassen laschet abblitzen,False,2021-04-06,Politik,Zu viele Fragen offen SPD Länder lassen Laschet abblitzen,Der Spiegel,0.875,n/a
1361,https://www.spiegel.de/politik/ausland/ostukraine-gefechte-mehr-truppen-und-panzer-an-der-grenze-was-hat-waldimir-putin-vor-a-be044aac-8d44-411f-9873-8b5a97437fe1,truppenbewegungen richtung ostukraine wladimir putin,False,2021-04-06,Politik,Truppenbewegungen in Richtung Ostukraine Was hat Wladimir Putin vor,Der Spiegel,0.6,n/a
1362,https://www.spiegel.de/politik/deutschland/news-des-tages-corona-impfung-beim-hausarzt-cdu-chef-armin-laschet-joe-biden-a-41de57b4-5a5b-4059-81bc-88459ecd20be,lage abend versuchen praxis,False,2021-04-06,Politik,Die Lage am Abend Versuchen wir es in der Praxis,Der Spiegel,1.0,n/a
1365,https://www.spiegel.de/politik/deutschland/cdu-mehrere-bundestagsabgeordnete-wollen-markus-soeder-als-kanzlerkandidat-a-2c12fd52-2abd-4232-b99c-e577c1dd6a04,bundestagswahl mehrer cdu abgeordnet söder kanzlerkandidaten,False,2021-04-06,Politik,Bundestagswahl Mehrere CDU Abgeordnete wollen Söder als Kanzlerkandidaten,Der Spiegel,1.0,n/a
1367,https://www.spiegel.de/panorama/gesellschaft/corona-pandemie-forscher-und-rki-warnen-vor-modellversuchen-bei-hohen-fallzahlen-a-0e02f2a5-93dc-4e34-8779-ddd1032b0af5,lockerung riskant forscher rki warnen modellversuchen hoch coronazahlen,False,2021-04-06,Panorama,Eine Lockerung ist riskant Forscher und RKI warnen vor Modellversuchen bei hohen Coronazahlen,Der Spiegel,1.0,n/a
1369,https://www.spiegel.de/politik/ausland/palaestinenserpraesident-mahmoud-abbas-laesst-sich-in-berliner-charite-untersuchen-a-2efdf0f5-61d8-476e-9695-f30c7f863377,palästina präsident mahmoud abbas lässt berliner charité untersuchen,False,2021-04-06,Politik,Palästina Präsident Mahmoud Abbas lässt sich in Berliner Charité untersuchen,Der Spiegel,0.625,n/a
1370,https://www.spiegel.de/politik/deutschland/cdu-fuehrung-in-der-coronakrise-armin-laschet-und-die-bruecke-ins-nichts-a-a1d2b6fc-1a2b-4a3c-ac97-70e6260bbde4,cdu führung coronakrise brücke,False,2021-04-06,Politik,CDU Führung in der Coronakrise Brücke ins Nichts,Der Spiegel,0.75,n/a
1376,https://www.spiegel.de/kultur/corona-politik-hoert-auf-die-wissenschaft-kolumne-a-7f2a0621-54b5-41e0-859d-a2b9b5bcbe08,coronapolitik hören wissenschaft,False,2021-04-06,Kultur,Coronapolitik Hört Auf Die Wissenschaft,Der Spiegel,1.0,n/a
1380,https://www.spiegel.de/panorama/justiz/ingolstadt-toedlicher-unfall-raser-zu-dreieinhalb-jahren-haft-verurteilt-a-471fa3d5-d66c-47fc-ab20-79421db44160,tödlich illegal autorennen raser dreieinhalb jahren haft verurteilen,False,2021-04-06,Panorama,Tödliches illegales Autorennen Raser zu dreieinhalb Jahren Haft verurteilt,Der Spiegel,0.625,n/a
1384,https://www.spiegel.de/politik/ausland/china-und-philippinen-konfrontation-im-suedchinesischen-meer-a-afb0c2ff-0002-0001-0000-000176983005,konfrontation südchinesischen meer insel insel,False,2021-04-06,Politik,Konfrontation im Südchinesischen Meer Insel um Insel,Der Spiegel,0.6,n/a
1386,https://www.spiegel.de/politik/deutschland/maut-affaere-andreas-scheuer-lehnt-kooperation-mit-ermittlungsbeauftragtem-ab-a-3b734684-5778-401c-89c6-3fb7d16246cf,mautaffäre scheuer lehnen kooperation eingesetzt ermittler ab,False,2021-04-06,Politik,Mautaffäre Scheuer lehnt Kooperation mit eingesetztem Ermittler ab,Der Spiegel,0.7142857142857143,n/a
1392,https://www.spiegel.de/panorama/justiz/wipperfuerth-in-nrw-22-jaehriger-fluechtet-vor-corona-strafe-und-stuerzt-vom-balkon-a-3fd9e989-41b3-4c96-a54f-fbe1c607ff4e,wipperfürth nrw 22 jährig flüchten corona strafe stürzen balkon,False,2021-04-06,Panorama,Wipperfürth in NRW 22 Jähriger flüchtet vor Corona Strafe   und stürzt vom Balkon,Der Spiegel,1.0,n/a
1393,https://www.spiegel.de/kultur/ferdinand-von-schirachs-vorschlag-ueber-neue-grundrechte-wind-der-freiheit-gastkommentar-a-9379c29f-87fe-4b43-8db8-5ece7b2d6810,neue grundrechte europa wind freiheit,False,2021-04-06,Kultur,Neue Grundrechte für Europa Wind der Freiheit,Der Spiegel,0.8,n/a
1395,https://www.spiegel.de/panorama/justiz/prozess-zum-tod-von-george-floyd-polizeichef-belastet-derek-chauvin-a-49c04099-2bea-4c97-9060-e1c6750b8fe2,polizeichef tod george floyd teil trainings,False,2021-04-06,Panorama,Polizeichef zum Tod von George Floyd Das ist nicht Teil unseres Trainings,Der Spiegel,0.6666666666666666,n/a
1397,https://www.spiegel.de/wirtschaft/iwf-erwartet-staerkere-wirtschaftliche-erholung-a-95b6e3b7-5c70-4565-8fa4-c28a6527faae,trotzen pandemie iwf erwarten stark wirtschaftlich erholung,False,2021-04-06,Wirtschaft,Trotz Pandemie IWF erwartet stärkere wirtschaftliche Erholung,Der Spiegel,1.0,n/a
1401,https://www.spiegel.de/panorama/bildung/bildung-deutschland-gibt-immer-mehr-geld-fuer-schulen-aus-aber-nicht-gemessen-am-bip-a-9bdbf83b-b22d-4ecf-9273-ff39e9c78bf8,bildung deutschland geben immer mehr geld schulen,False,2021-04-06,Panorama,Bildung Deutschland gibt immer mehr Geld für Schulen aus,Der Spiegel,1.0,n/a
1403,https://www.spiegel.de/wirtschaft/service/kosovo-behoerden-nehmen-18-anlagebetrueger-fest-a-2579e83d-31f4-4015-829d-5911736bb4e3,internetabzocke behörden nehmen 18 anlagebetrüger kosovo fest,False,2021-04-06,Wirtschaft,Internetabzocke Behörden nehmen 18 Anlagebetrüger in Kosovo fest,Der Spiegel,0.5714285714285714,n/a
1408,https://www.spiegel.de/panorama/kalifornien-auto-in-usa-stuerzt-von-30-meter-hoher-klippe-zwei-frauen-sterben-a-2135ee45-219e-4b8c-b16c-d6eebe492e4d,kalifornien auto stürzen 30 meter hoch klippe zwei frauen sterben,False,2021-04-06,Panorama,Kalifornien Auto stürzt von 30 Meter hoher Klippe   zwei Frauen sterben,Der Spiegel,0.9,n/a
1411,https://www.spiegel.de/politik/deutschland/armin-laschet-verteidigt-vorstoss-fuer-bruecken-lockdown-a-1062fa3f-6072-4e8e-a427-eaa56364209a,kampf corona laschet verteidigen vorstoß brücken lockdown,False,2021-04-06,Politik,Kampf gegen Corona Laschet verteidigt Vorstoß für Brücken Lockdown,Der Spiegel,1.0,n/a
1412,https://www.spiegel.de/panorama/gesellschaft/corona-impfungen-in-hausarztpraxen-das-muessen-sie-wissen-a-e6c585ef-bbf2-4318-8247-12365659b90e,coronaschutz müssen start impfungen hausarztpraxen wissen,False,2021-04-06,Panorama,Coronaschutz Das müssen Sie zum Start der Impfungen in den Hausarztpraxen wissen,Der Spiegel,0.6666666666666666,n/a
1414,https://www.spiegel.de/wirtschaft/corona-impfung-beim-hausarzt-weniger-obrigkeitshoerigkeit-mehr-augenmass-a-73f31060-5058-42c4-8981-87eba27a6f8c,wenig obrigkeitshörigkeit mehr augenmaß hausärzte impfkampagne ankurbeln sollen,False,2021-04-06,Wirtschaft,Weniger Obrigkeitshörigkeit mehr Augenmaß Wie Hausärzte die Impfkampagne ankurbeln sollen,Der Spiegel,1.0,n/a
1415,https://www.spiegel.de/wissenschaft/medizin/astrazeneca-ema-sieht-verbindung-zwischen-impfung-und-thrombosen-a-3d08fdef-152b-45d5-917e-5d2299b6b898,prüfung ema sehen verbindung astrazeneca impfung thrombosen,False,2021-04-06,Wissenschaft,Nach Prüfung Ema sieht Verbindung zwischen AstraZeneca Impfung und Thrombosen,Der Spiegel,1.0,n/a
1416,https://www.spiegel.de/wirtschaft/unternehmen/boersenboom-trotz-pandemie-dax-springt-auf-neues-rekordhoch-a-bed96d00-dc83-40ef-9b90-7ba531a138d9,börsenboom pandemie dax springen neu rekordhoch,False,2021-04-06,Wirtschaft,Börsenboom in der Pandemie Dax springt auf neues Rekordhoch,Der Spiegel,1.0,n/a
1420,https://www.spiegel.de/wirtschaft/corona-soforthilfen-staatsanwaelte-leiteten-bislang-15-000-ermittlungsverfahren-ein-a-6bcb4538-608c-48bc-8c62-606166aac755,betragen corona soforthilfen staatsanwälte leiten bislang 15000 ermittlungsverfahren,False,2021-04-06,Wirtschaft,Betrug bei Corona Soforthilfen Staatsanwälte leiteten bislang 15000 Ermittlungsverfahren ein,Der Spiegel,1.0,n/a
1421,https://www.spiegel.de/politik/ausland/ukraine-militaer-meldete-zwei-getoetete-soldaten-a-92660efa-cfcc-4f15-b054-799fa2d1f4cc,konflikt separatisten ukrainisch militär melden zwei getötet soldaten,False,2021-04-06,Politik,Konflikt mit Separatisten Ukrainisches Militär meldete zwei getötete Soldaten,Der Spiegel,0.625,n/a
1422,https://www.spiegel.de/panorama/spiegel-bildungsnewsletter-bitte-die-nerven-behalten-a-eff39050-7665-4200-89d4-61443acee0e9,spiegel bildungsnewsletter bitte nerven behalten,False,2021-04-06,Panorama,SPIEGEL Bildungsnewsletter Bitte die Nerven behalten,Der Spiegel,0.8,n/a
1423,https://www.spiegel.de/politik/ausland/proteste-in-myanmar-russland-lehnt-sanktionen-gegen-militaerjunta-ab-a-332b2365-9ec6-4a03-b999-823b90da7537,proteste myanmar russland lehnen sanktionen militärjunta ab,False,2021-04-06,Politik,Proteste in Myanmar Russland lehnt Sanktionen gegen Militärjunta ab,Der Spiegel,0.8571428571428571,n/a
1429,https://www.spiegel.de/wirtschaft/eu-kommission-genehmigt-finanzhilfen-fuer-air-france-a-a24ee383-2310-4166-ad8b-4250259ada77,coronakrise eu genehmigen finanzhilfen air france,False,2021-04-06,Wirtschaft,Coronakrise EU genehmigt Finanzhilfen für Air France,Der Spiegel,0.6666666666666666,n/a
1430,https://www.spiegel.de/panorama/justiz/berlin-brandanschlag-auf-corona-testzentrum-a-46f0cce0-a5bb-44fd-87a2-94ca528241c6,berlin brandanschlag corona testzentrum,False,2021-04-06,Panorama,Berlin Brandanschlag auf Corona Testzentrum,Der Spiegel,1.0,n/a
1431,https://www.spiegel.de/wirtschaft/coronakrise-schnelltest-programme-in-betrieben-laufen-nur-schleppend-an-a-6ce65aca-4800-4b80-9d61-8791a268c85f,coronakrise schnelltestprogramme betrieben laufen schleppen,False,2021-04-06,Wirtschaft,Coronakrise Schnelltestprogramme in Betrieben laufen nur schleppend an,Der Spiegel,0.8,n/a
1432,https://www.spiegel.de/politik/deutschland/armin-laschet-besteht-auf-vorschlagsrecht-fuer-kanzlerkandidatur-a-5c0cac2e-09a1-4d3e-8b1f-9ae6ea4ca759,cdu chef laschet bestehen vorschlagsrecht kanzlerkandidatur,False,2021-04-06,Politik,CDU Chef Laschet besteht auf Vorschlagsrecht für Kanzlerkandidatur,Der Spiegel,0.8333333333333334,n/a
1434,https://www.spiegel.de/panorama/gesellschaft/anti-transgender-gesetz-gouverneur-von-arkansas-legt-veto-ein-a-73572f03-b24e-434b-843b-d5f534ef70e7,usa gouverneur arkansas legen veto geplant anti transgender gesetz,False,2021-04-06,Panorama,USA Gouverneur von Arkansas legt Veto gegen geplantes Anti Transgender Gesetz ein,Der Spiegel,0.6666666666666666,n/a
1437,https://www.spiegel.de/panorama/gesellschaft/corona-in-berlin-neukoelln-im-epizentrum-a-a06ee092-0002-0001-0000-000176982980,coronareport berlin neukölln pandemie besonders hart zuschlagen,False,2021-04-06,Panorama,Coronareport aus Berlin Neukölln Wo die Pandemie besonders hart zuschlägt,Der Spiegel,1.0,n/a
1438,https://www.spiegel.de/politik/deutschland/das-spiegel-projekt-republik-21-geht-an-den-start-a-feb5bb7a-fbea-4ef9-8ef6-48e926f544ef,fragen starten republik 21,False,2021-04-06,Politik,Fragen was ist Wir starten in die Republik 21,Der Spiegel,1.0,n/a
1440,https://www.spiegel.de/geschichte/olympische-spiele-1896-in-athen-wie-pierre-de-coubertin-olympia-wiederbelebte-a-d814da28-0495-4a77-8625-aaa30b88d6b5,125 jahre modern olympische spiele olympias feuer neu entflammen,False,2021-04-06,Geschichte,125 Jahre moderne Olympische Spiele Als Olympias Feuer neu entflammte,Der Spiegel,0.5555555555555556,n/a
1443,https://www.spiegel.de/politik/deutschland/kanzlerkandidatur-erste-cdu-abgeordnete-wollen-fraktion-ueber-k-frage-entscheiden-lassen-a-0b25f55c-fdfa-4e5f-a2a5-55cfc1a3eeaf,kanzlerkandidat union erste cdu abgeordnet fraktion k fragen entscheiden lassen,False,2021-04-06,Politik,Kanzlerkandidat der Union Erste CDU Abgeordnete wollen Fraktion über K Frage entscheiden lassen,Der Spiegel,0.8,n/a
1445,https://www.spiegel.de/politik/deutschland/news-die-lage-am-morgen-joe-biden-corona-impfungen-armin-laschet-bruecken-lockdown-a-d2f5e259-575a-431b-9704-da46c21309d5,lage morgen kommen kanzlerin impfzentrum,False,2021-04-06,Politik,Die Lage am Morgen Kommt eine Kanzlerin ins Impfzentrum,Der Spiegel,0.8,n/a
1446,https://www.spiegel.de/wissenschaft/medizin/corona-news-am-dienstag-die-wichtigsten-entwicklungen-zu-sars-cov-2-und-covid-19-a-baeb43d9-1522-4811-acd4-246dc660fc5e,corona news dienstag söder laschets brücken lockdown entsprechen linie,False,2021-04-06,Wissenschaft,Corona News am Dienstag Söder Laschets Brücken Lockdown entspreche seiner Linie,Der Spiegel,1.0,n/a
1447,https://www.spiegel.de/politik/ausland/ukraine-konflikt-nato-warnt-russland-vor-eskalation-an-der-grenze-a-bfa8dc9b-46b7-4a46-9a1d-1e3d38f10895,vorwurf destabilisierender maßnahmen nato warnen russland eskalation ukraine,False,2021-04-06,Politik,Vorwurf destabilisierender Maßnahmen Nato warnt Russland vor Eskalation in der Ukraine,Der Spiegel,0.875,n/a
1454,https://www.spiegel.de/politik/deutschland/politiker-auf-twitter-ueber-einen-durchschnittlichen-tweet-denke-ich-etwa-30-sekunden-nach-a-a703248b-0002-0001-0000-000176982984,politiker entgleisungen twitter facebook durchschnittlich tweet denken etwa 30 sekunden,False,2021-04-06,Politik,Politiker Entgleisungen auf Twitter und Facebook Über einen durchschnittlichen Tweet denke ich etwa 30 Sekunden nach,Der Spiegel,0.6,n/a
1455,https://www.spiegel.de/politik/ausland/usa-pharrell-williams-fordert-umfassende-untersuchung-von-tod-seines-cousins-a-15307ca4-1817-48b0-a097-fc6119abc891,us polizeigewalt pharrell williams fordern umfassend untersuchung todes cousins,False,2021-04-07,Politik,US Polizeigewalt Pharrell Williams fordert umfassende Untersuchung des Todes seines Cousins,Der Spiegel,0.5555555555555556,n/a
1459,https://www.spiegel.de/wissenschaft/natur/zoonosen-forscher-entwickeln-datenbank-fuer-gefaehrliche-tierkrankheiten-a-f9592153-e769-432d-8a1c-316d06f90c13,risiko zoonosen forscher entwickeln datenbank verhinderung pandemien,False,2021-04-07,Wissenschaft,Risiko durch Zoonosen Forscher entwickeln Datenbank zur Verhinderung von Pandemien,Der Spiegel,0.5714285714285714,n/a
1460,https://www.spiegel.de/politik/deutschland/kanzlerin-angela-merkel-vertraut-markus-soeder-glaubt-die-grosse-mehrheit-der-deutschen-a-4533d8af-5046-4c44-8083-cb3934fb9c4c,spiegel umfrage kanzlerin vertrauen söder glauben groß mehrheit deutsch,False,2021-04-07,Politik,SPIEGEL Umfrage Kanzlerin vertraut Söder   glaubt die große Mehrheit der Deutschen,Der Spiegel,1.0,n/a
1463,https://www.spiegel.de/panorama/justiz/celle-vermisste-16-jahre-alte-isabella-in-frankreich-gefunden-a-7d9479c3-6f9a-40d6-aa28-429094f3db1d,rund zwei wochen vermisste 16 jährige celle frankreich finden,False,2021-04-07,Panorama,Nach rund zwei Wochen Vermisste 16 Jährige aus Celle in Frankreich gefunden,Der Spiegel,0.6666666666666666,n/a
1464,https://www.spiegel.de/politik/deutschland/sputnik-und-markus-soeder-bodo-ramelow-warnt-vor-wettbewerb-unter-den-laendern-a-2085c7ea-60df-4eac-956a-0244a2015f04,söders sputnik vorstoß ramelow warnen impfwettbewerb ländern,False,2021-04-07,Politik,Nach Söders Sputnik Vorstoß Ramelow warnt vor Impfwettbewerb unter den Ländern,Der Spiegel,0.7142857142857143,n/a
1465,https://www.spiegel.de/politik/ausland/boris-johnsons-global-britain-vision-von-der-neuen-soft-power-superpower-a-d2ee2fa5-0502-4146-9dd8-442b73ee1941,großbritanniens global mittelmacht johnson träumen neu soft power superpower,False,2021-04-07,Politik,Großbritanniens Weg zur globalen Mittelmacht Johnson träumt von der neuen Soft Power Superpower,Der Spiegel,0.5555555555555556,n/a
